flyer_id,track,symposium,organizer,role_note,affiliation,source_url
021,Data-Driven and Computational Materials Design,AI-Enabled Materials Processing: Integrating Accelerated Experimental Workflows and Processing-Aware Machine Learning,Allison Beese,,Pennsylvania State University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-021.pdf
021,Data-Driven and Computational Materials Design,AI-Enabled Materials Processing: Integrating Accelerated Experimental Workflows and Processing-Aware Machine Learning,Samantha Webster,,Colorado School of Mines,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-021.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Christopher Stiles,,Johns Hopkins University Applied Physics Laboratory,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Niaz Abdolrahim,,University Of Rochester,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Kamal Choudhary,,Johns Hopkins University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Dehao Liu,,Binghamton University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Darren Pagan,,Pennsylvania State University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",James Saal,,Citrine Informatics,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Daniel Wines,,National Institute of Standards and Technology,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Taylor Sparks,,University of Utah,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
022,Data-Driven and Computational Materials Design,"AI/ML/Data Informatics for Materials Discovery: Bridging Experiment, Theory, and Modeling",Mahmood Mamivand,,Boise State University,https://www.tms.org/tms2027/downloads/flyers/TMS2027-CFA-Flyer-022.pdf
